"","Stratum","AveBiomass"
"1","6N",2.83002180028129
"2","3N",2.08629577464789
"3","4N",0.66043661971831
"4","2N",0.531572145175568
"5","7N",0.408078571428571
"6","2",0.401402560455192
"7","9N",0.245815450729614
"8","5N",0.200098591549296
"9","12N",0.190304686484375
"10","26",0.151433249370277
"11","BIN",0.14489928057554
"12","42",0.13030303030303
"13","8N",0.116062992125984
"14","10N",0.115946018893387
"15","0",0.1
"16","11N",0.0678452689897698
"17","12",0.0644044117647059
"18","14N",0.0588282828282828
"19","14",0.0543177257525084
"20","50",0.0527586206896552
"21","60",0.0437734375
"22","27",0.0426852589641434
"23","24",0.0404889975550122
"24","31",0.0394285714285714
"25","45",0.03584375
"26","15N",0.0355058823529412
"27","25",0.028984375
"28","30",0.027156976744186
"29","39",0.0269960317460317
"30","15",0.0265983606557377
"31","18",0.0216896551724138
"32",NA,0.0212527777777778
"33","46",0.0204811320754717
"34","64",0.0158523489932886
"35","35",0.0153459459459459
"36","28",0.0152180974477958
"37","RIN",0.0147733333333333
"38","23",0.0137165427509294
"39","40",0.00956410256410256
"40","11",0.0090482546201232
"41","7",0.00869158878504673
"42","69",0.00784690553745928
"43","36",0.00763666947014298
"44","66",0.0065042735042735
"45","33",0.00616363636363636
"46","4",0.00581976744186046
"47","5",0.00460469483568075
"48","29",0.00445900178253119
"49","8",0.00408726339428938
"50","61",0.00377152317880795
"51","37",0.0035230352303523
"52","9",0.00335862068965517
"53","51",0.00289855072463768
"54","22",0.00273684210526316
"55","19",0.00264331210191083
"56","43",0.00263157894736842
"57","6",0.00235483870967742
"58","13N",0.00208790879087909
"59","65",0.00199169894853348
"60","13",0.00194181818181818
"61","1",0.0018808864265928
"62","16",0.00168844931119746
"63","10",0.00142566191446028
"64","59",0.00136708860759494
"65","41",0.00106060606060606
"66","34",0.000992626728110599
"67","73",0.000790754257907543
"68","58",0.0006625
"69","17",0.000492244897959184
"70","38",0.000454959053685168
"71","1N",0.000369477911646586
"72","32",0.000314410480349345
"73","3",0.000309090909090909
"74","63",5.97014925373134e-05
"75","20",0
"76","44",0
"77","52",0
"78","53",0
"79","54",0
"80","55",0
"81","56",0
"82","57",0
"83","62",0
"84","74",0
